Datetime,Day of Week,Hour,Temp (°C),Solar (W/m²),Wind (km/h),Humidity (%),Cloud Cover (%),Actually Constrained,Constraint Level (MW),Probability (%),Risk Level
2025-11-24T14:00:00.000Z,Tuesday,0,27.0,73,18.4,89,100,NO,,93.7,VERY HIGH
2025-11-24T15:00:00.000Z,Tuesday,1,27.0,69,22.3,89,100,NO,,36.0,HIGH
2025-11-24T20:00:00.000Z,Tuesday,6,27.0,0,18.4,84,100,NO,,36.0,HIGH
2025-11-24T21:00:00.000Z,Tuesday,7,26.0,0,22.3,89,100,NO,,93.7,VERY HIGH
2025-11-24T22:00:00.000Z,Tuesday,8,26.0,0,13.0,89,100,NO,,93.7,VERY HIGH
2025-11-24T23:00:00.000Z,Tuesday,9,27.0,0,18.4,84,100,NO,,100.0,VERY HIGH
2025-11-25T00:00:00.000Z,Tuesday,10,27.0,0,25.9,84,100,NO,,36.0,HIGH
2025-11-25T01:00:00.000Z,Tuesday,11,25.0,0,37.1,94,100,NO,,36.0,HIGH
2025-11-25T02:00:00.000Z,Tuesday,12,25.0,0,37.1,94,100,YES,-250,100.0,VERY HIGH
2025-11-25T03:00:00.000Z,Tuesday,13,26.0,0,37.1,94,100,YES,-250,93.7,VERY HIGH
2025-11-25T04:00:00.000Z,Tuesday,14,27.0,0,29.5,89,100,YES,-250,36.0,HIGH
2025-11-25T05:00:00.000Z,Tuesday,15,26.0,0,22.3,94,100,YES,-250,36.0,HIGH
2025-11-25T06:00:00.000Z,Tuesday,16,26.0,1,22.3,89,100,YES,-250,36.0,HIGH
2025-11-25T07:00:00.000Z,Tuesday,17,26.0,12,14.8,89,100,YES,-250,36.0,HIGH
2025-11-25T21:00:00.000Z,Wednesday,7,28.0,0,3.6,84,50,NO,,41.6,VERY HIGH
2025-11-25T22:00:00.000Z,Wednesday,8,27.0,0,3.6,89,50,NO,,50.0,VERY HIGH
2025-11-25T23:00:00.000Z,Wednesday,9,27.0,0,7.6,89,50,NO,,76.9,VERY HIGH
2025-11-26T02:00:00.000Z,Wednesday,12,26.0,0,3.6,94,25,YES,-250,65.3,VERY HIGH
2025-11-26T03:00:00.000Z,Wednesday,13,26.0,0,11.2,94,25,YES,-250,75.0,VERY HIGH
2025-11-26T21:00:00.000Z,Thursday,7,29.0,0,5.4,79,25,NO,,33.3,HIGH
2025-11-26T22:00:00.000Z,Thursday,8,28.0,0,5.4,89,25,NO,,41.6,VERY HIGH
2025-11-26T23:00:00.000Z,Thursday,9,28.0,0,11.2,84,25,NO,,96.1,VERY HIGH
2025-11-27T02:00:00.000Z,Thursday,12,27.0,0,0.0,89,25,YES,-250,65.3,VERY HIGH
2025-11-27T03:00:00.000Z,Thursday,13,27.0,0,5.4,89,50,YES,-250,50.0,VERY HIGH
2025-11-27T21:00:00.000Z,Friday,7,29.0,0,5.4,84,88,NO,,33.3,HIGH
2025-11-27T22:00:00.000Z,Friday,8,28.0,0,5.4,84,25,NO,,41.6,VERY HIGH
2025-11-27T23:00:00.000Z,Friday,9,28.0,0,9.4,84,50,YES,-250,64.1,VERY HIGH
2025-11-28T02:00:00.000Z,Friday,12,27.0,0,5.4,89,50,YES,-250,65.3,VERY HIGH
2025-11-28T03:00:00.000Z,Friday,13,27.0,0,3.6,89,88,YES,-250,50.0,VERY HIGH
2025-11-28T04:00:00.000Z,Friday,14,26.0,0,22.3,89,100,YES,-180,36.0,HIGH
2025-11-28T05:00:00.000Z,Friday,15,26.0,0,14.8,89,88,YES,-180,36.0,HIGH
2025-11-28T21:00:00.000Z,Saturday,7,28.0,0,5.4,84,25,NO,,41.6,VERY HIGH
2025-11-28T22:00:00.000Z,Saturday,8,28.0,0,3.6,84,25,NO,,41.6,VERY HIGH
2025-11-28T23:00:00.000Z,Saturday,9,28.0,0,3.6,84,25,NO,,64.1,VERY HIGH
2025-11-29T02:00:00.000Z,Saturday,12,27.0,0,7.6,84,50,NO,,65.3,VERY HIGH
2025-11-29T03:00:00.000Z,Saturday,13,27.0,0,9.4,89,50,NO,,50.0,VERY HIGH
2025-11-29T21:00:00.000Z,Sunday,7,29.0,0,5.4,79,25,NO,,33.3,HIGH
2025-11-29T22:00:00.000Z,Sunday,8,29.0,0,5.4,79,50,NO,,33.3,HIGH
2025-11-29T23:00:00.000Z,Sunday,9,28.0,0,1.8,84,50,NO,,64.1,VERY HIGH
2025-11-30T02:00:00.000Z,Sunday,12,27.0,0,7.6,84,25,NO,,65.3,VERY HIGH
2025-11-30T03:00:00.000Z,Sunday,13,27.0,0,5.4,84,50,NO,,50.0,VERY HIGH
2025-11-30T21:00:00.000Z,Monday,7,28.0,0,7.6,79,88,NO,,41.6,VERY HIGH
2025-11-30T22:00:00.000Z,Monday,8,29.0,0,9.4,75,50,NO,,33.3,HIGH
2025-11-30T23:00:00.000Z,Monday,9,28.0,0,11.2,79,88,NO,,96.1,VERY HIGH
2025-12-01T02:00:00.000Z,Monday,12,28.0,0,9.4,79,88,NO,,54.5,VERY HIGH
2025-12-01T03:00:00.000Z,Monday,13,28.0,0,11.2,79,88,NO,,62.5,VERY HIGH
2025-12-01T05:00:00.000Z,Monday,15,27.0,0,14.8,84,88,NO,,36.0,HIGH
