Start Time,End Time,Duration (hours),Constraint Level (MW),Avg Temperature (°C),Avg Solar (W/m²),Avg Wind (km/h),Avg Humidity (%),Avg Cloud Cover (%),Weather Conditions,Hour of Day,Day of Week,Day of Month
2025-11-08T22:30:00.000Z,2025-11-09T21:55:00.000Z,23.42,0,28.3,107,18.6,76,100,Cloudy; Partly Cloudy; Clear/Sunny,8,0,9
2025-11-18T22:20:00.000Z,2025-11-19T11:30:00.000Z,13.17,-250,28.1,164,9.0,82,60,Cloudy; Partly Cloudy; Clear/Sunny,8,3,19
2025-11-20T02:15:00.000Z,2025-11-20T12:40:00.000Z,10.42,-250,28.6,296,11.5,80,77,Cloudy; Partly Cloudy; Clear/Sunny,12,4,20
2025-11-27T02:45:00.000Z,2025-11-27T13:00:00.000Z,10.25,-250,28.9,325,7.6,82,48,Cloudy; Partly Cloudy; Clear/Sunny,12,4,27
2025-11-04T03:45:00.000Z,2025-11-04T12:55:00.000Z,9.17,80,25.4,51,36.4,90,100,Cloudy; Partly Cloudy,13,2,4
2025-11-26T01:45:00.000Z,2025-11-26T10:50:00.000Z,9.08,-250,27.6,176,6.2,86,42,Cloudy; Partly Cloudy; Clear/Sunny,11,3,26
2025-11-04T14:30:00.000Z,2025-11-04T23:15:00.000Z,8.75,100,25.9,21,14.8,90,97,Cloudy,0,3,5
2025-11-25T02:40:00.000Z,2025-11-25T11:00:00.000Z,8.33,-250,27.4,66,20.4,86,99,Cloudy,12,2,25
2025-11-17T03:05:00.000Z,2025-11-17T11:00:00.000Z,7.92,-250,28.0,254,11.2,84,79,Cloudy; Clear/Sunny,13,1,17
2025-11-28T04:25:00.000Z,2025-11-28T12:20:00.000Z,7.92,-180,28.8,429,9.5,82,56,Cloudy; Partly Cloudy; Clear/Sunny,14,5,28
2025-11-21T03:05:00.000Z,2025-11-21T10:45:00.000Z,7.67,-250,28.3,216,11.7,79,65,Cloudy; Partly Cloudy; Clear/Sunny,13,5,21
2025-11-22T00:40:00.000Z,2025-11-22T08:20:00.000Z,7.67,-150,26.5,52,8.6,86,58,Cloudy; Partly Cloudy,10,6,22
2025-11-18T02:15:00.000Z,2025-11-18T09:35:00.000Z,7.33,-150,27.7,104,8.2,79,59,Cloudy; Partly Cloudy,12,2,18
2025-11-03T16:40:00.000Z,2025-11-03T23:00:00.000Z,6.33,0,24.9,2,11.4,93,100,Cloudy,2,2,4
2025-11-27T23:05:00.000Z,2025-11-28T04:20:00.000Z,5.25,-250,27.2,0,8.9,87,75,Cloudy,9,5,28
2025-11-03T08:25:00.000Z,2025-11-03T12:45:00.000Z,4.33,100,26.9,365,11.1,89,100,Partly Cloudy; Clear/Sunny,18,1,3
2025-11-06T11:00:00.000Z,2025-11-06T15:10:00.000Z,4.17,420,31.4,715,14.3,67,32,Clear/Sunny,21,4,6
2025-11-19T21:35:00.000Z,2025-11-20T01:35:00.000Z,4.00,-250,27.3,0,8.5,88,79,Cloudy,7,4,20
2025-11-22T08:25:00.000Z,2025-11-22T12:25:00.000Z,4.00,-250,30.3,683,20.4,72,88,Clear/Sunny,18,6,22
2025-11-15T23:45:00.000Z,2025-11-16T03:10:00.000Z,3.42,100,26.3,0,9.4,93,85,Cloudy,9,0,16
2025-11-23T23:10:00.000Z,2025-11-24T02:35:00.000Z,3.42,-250,28.0,0,13.0,82,88,Cloudy,9,1,24
2025-11-10T10:55:00.000Z,2025-11-10T14:00:00.000Z,3.08,200,31.7,637,13.7,70,99,Clear/Sunny,20,1,10
2025-11-23T06:00:00.000Z,2025-11-23T08:55:00.000Z,2.92,-250,27.0,117,6.1,89,63,Cloudy; Partly Cloudy,16,0,23
2025-11-03T13:50:00.000Z,2025-11-03T16:30:00.000Z,2.67,100,25.4,119,7.8,92,100,Partly Cloudy; Cloudy,23,1,3
2025-11-08T19:10:00.000Z,2025-11-08T21:50:00.000Z,2.67,0,28.9,0,9.8,71,100,Cloudy,5,0,9
2025-11-18T09:40:00.000Z,2025-11-18T12:20:00.000Z,2.67,-250,30.7,474,19.8,72,75,Partly Cloudy; Clear/Sunny,19,2,18
2025-11-20T23:10:00.000Z,2025-11-21T01:35:00.000Z,2.42,-250,28.0,0,9.4,84,38,Cloudy,9,5,21
2025-11-03T23:05:00.000Z,2025-11-04T01:00:00.000Z,1.92,100,24.0,0,18.2,97,100,Cloudy,9,2,4
2025-11-17T21:25:00.000Z,2025-11-17T23:20:00.000Z,1.92,-250,28.0,0,8.5,84,38,Cloudy,7,2,18
2025-11-27T00:00:00.000Z,2025-11-27T01:50:00.000Z,1.83,-250,27.0,0,5.4,89,50,Cloudy,10,4,27
2025-11-07T14:05:00.000Z,2025-11-07T15:50:00.000Z,1.75,420,33.0,581,11.2,59,25,Clear/Sunny,0,6,8
2025-11-06T17:20:00.000Z,2025-11-06T19:00:00.000Z,1.67,420,30.0,2,6.5,73,90,Cloudy,3,5,7
2025-11-15T04:20:00.000Z,2025-11-15T06:00:00.000Z,1.67,-250,26.0,1,13.0,92,94,Cloudy,14,6,15
2025-11-24T04:20:00.000Z,2025-11-24T06:00:00.000Z,1.67,-250,28.0,1,12.1,79,100,Cloudy,14,1,24
2025-11-27T18:50:00.000Z,2025-11-27T20:30:00.000Z,1.67,-250,29.5,0,2.7,82,50,Cloudy,4,5,28
2025-11-27T16:25:00.000Z,2025-11-27T17:55:00.000Z,1.50,-250,31.0,117,7.6,75,25,Cloudy,2,5,28
2025-11-19T12:45:00.000Z,2025-11-19T14:10:00.000Z,1.42,-250,31.0,560,13.0,71,88,Clear/Sunny,22,3,19
2025-11-20T18:00:00.000Z,2025-11-20T19:25:00.000Z,1.42,-200,29.5,1,13.0,75,50,Cloudy,4,5,21
2025-11-23T21:40:00.000Z,2025-11-23T23:00:00.000Z,1.33,-250,28.0,0,13.0,84,88,Cloudy,7,1,24
2025-11-04T13:00:00.000Z,2025-11-04T14:15:00.000Z,1.25,100,26.0,148,15.5,94,100,Cloudy,23,2,4
2025-11-24T06:45:00.000Z,2025-11-24T08:00:00.000Z,1.25,-250,28.0,71,4.5,79,100,Cloudy,16,1,24
