datetime,hour,day_of_week,is_weekend,is_congested,flow_from,flow_to,overload_mw,manila_temp,manila_dew,manila_solar,manila_wind,manila_cloudcover,manila_rh,cebu_temp,cebu_dew,cebu_solar,cebu_wind,cebu_cloudcover,cebu_rh,luz_demand,vis_demand,demand_diff
2025-07-01T00:55:00.000+10:00,0,2,0,0,360.29,-360.29,0,26,25,0,5.4,89.4,94.23600472920616,25,24,0,5.4,89.7,94.19412582185404,9408,1697,7711
2025-07-01T01:00:00.000+10:00,1,2,0,0,334.3,-334.3,0,26,25,0,5.4,89.4,94.23600472920616,25,24,0,5.4,89.7,94.19412582185404,9408,1697,7711
2025-07-01T01:05:00.000+10:00,1,2,0,0,319.35,-319.35,0,26,25,0,5.4,89.4,94.23600472920616,25,24,0,5.4,89.7,94.19412582185404,9408,1697,7711
2025-07-01T01:55:00.000+10:00,1,2,0,0,321.52,-321.52,0,25.8,24.8,0,2.4,96.6,94.22766489444018,25.9,24.9,0,6,86.8,94.23183704896017,9082,1630,7452
2025-07-01T02:00:00.000+10:00,2,2,0,0,310.44,-310.44,0,25.8,24.8,0,2.4,96.6,94.22766489444018,25.9,24.9,0,6,86.8,94.23183704896017,9082,1630,7452
2025-07-01T02:05:00.000+10:00,2,2,0,0,338.82,-338.82,0,25.8,24.8,0,2.4,96.6,94.22766489444018,25.9,24.9,0,6,86.8,94.23183704896017,9082,1630,7452
2025-07-01T02:55:00.000+10:00,2,2,0,0,363.71,-363.71,0,26,25,0,3.6,26.4,94.23600472920616,25,24,0,3.6,89.7,94.19412582185404,8799,1591,7208
2025-07-01T03:00:00.000+10:00,3,2,0,0,367.35,-367.35,0,26,25,0,3.6,26.4,94.23600472920616,25,24,0,3.6,89.7,94.19412582185404,8799,1591,7208
2025-07-01T03:05:00.000+10:00,3,2,0,0,378.03,-378.03,0,26,25,0,3.6,26.4,94.23600472920616,25,24,0,3.6,89.7,94.19412582185404,8799,1591,7208
2025-07-01T03:55:00.000+10:00,3,2,0,0,397.37,-397.37,0,26,26,0,3.6,89.4,100,25,24,0,3.6,89.7,94.19412582185404,8693,1551,7142
2025-07-01T04:00:00.000+10:00,4,2,0,0,399.67,-399.67,0,26,26,0,3.6,89.4,100,25,24,0,3.6,89.7,94.19412582185404,8693,1551,7142
2025-07-01T04:05:00.000+10:00,4,2,0,0,397.76,-397.76,0,26,26,0,3.6,89.4,100,25,24,0,3.6,89.7,94.19412582185404,8693,1551,7142
2025-07-01T04:55:00.000+10:00,4,2,0,1,420,-420,0,25.6,24.8,0,0.8,36.4,95.35146465585034,25.2,24.2,0,3.6,89.7,94.20253765201525,8805,1594,7211
2025-07-01T05:00:00.000+10:00,5,2,0,1,420,-420,0,25.6,24.8,0,0.8,36.4,95.35146465585034,25.2,24.2,0,3.6,89.7,94.20253765201525,8805,1594,7211
2025-07-01T05:05:00.000+10:00,5,2,0,0,411.2,-411.2,0,25.6,24.8,0,0.8,36.4,95.35146465585034,25.2,24.2,0,3.6,89.7,94.20253765201525,8805,1594,7211
2025-07-01T05:55:00.000+10:00,5,2,0,0,399.23,-399.23,0,26,26,12,3.6,26.4,100,26,25,9.2,3.6,91,94.23600472920616,8995,1688,7307
2025-07-01T06:00:00.000+10:00,6,2,0,0,372.67,-372.67,0,26,26,12,3.6,26.4,100,26,25,9.2,3.6,91,94.23600472920616,8995,1688,7307
2025-07-01T06:05:00.000+10:00,6,2,0,0,350.23,-350.23,0,26,26,12,3.6,26.4,100,26,25,9.2,3.6,91,94.23600472920616,8995,1688,7307
2025-07-01T06:55:00.000+10:00,6,2,0,0,380.86,-380.86,0,27,25,97,5.4,26.4,88.84328983201667,26,25,96,3.6,89.7,94.23600472920616,8792,1645,7147
2025-07-01T07:00:00.000+10:00,7,2,0,0,396.56,-396.56,0,27,25,97,5.4,26.4,88.84328983201667,26,25,96,3.6,89.7,94.23600472920616,8792,1645,7147
2025-07-01T07:05:00.000+10:00,7,2,0,0,366.93,-366.93,0,27,25,97,5.4,26.4,88.84328983201667,26,25,96,3.6,89.7,94.23600472920616,8792,1645,7147
2025-07-01T07:55:00.000+10:00,7,2,0,0,233.91,-233.91,0,28.7,24.8,434,6,51.6,79.50057447792473,26.9,25.1,254.1,7.6,85.4,89.90053785648695,9188,1700,7488
2025-07-01T08:00:00.000+10:00,8,2,0,0,224.94,-224.94,0,28.7,24.8,434,6,51.6,79.50057447792473,26.9,25.1,254.1,7.6,85.4,89.90053785648695,9188,1700,7488
2025-07-01T08:05:00.000+10:00,8,2,0,0,143.65,-143.65,0,28.7,24.8,434,6,51.6,79.50057447792473,26.9,25.1,254.1,7.6,85.4,89.90053785648695,9188,1700,7488
2025-07-01T08:55:00.000+10:00,8,2,0,0,120.39,-120.39,0,30,25,240,5.4,26.4,74.6401272083123,28,25,376.9,7.6,89.7,83.795594704568,9975,1939,8036
2025-07-01T09:00:00.000+10:00,9,2,0,0,108.96,-108.96,0,30,25,240,5.4,26.4,74.6401272083123,28,25,376.9,7.6,89.7,83.795594704568,9975,1939,8036
2025-07-01T09:05:00.000+10:00,9,2,0,0,113.74,-113.74,0,30,25,240,5.4,26.4,74.6401272083123,28,25,376.9,7.6,89.7,83.795594704568,9975,1939,8036
2025-07-01T09:55:00.000+10:00,9,2,0,0,106.59,-106.59,0,29,26,293,13,26.4,83.90495049824243,29,24,469.2,14.8,91,74.47804544391055,10655,2095,8560
