DateTimeEnding,CLUZ,CVIS,CMIN
11/25/2025 01:00,9258.7,1532.5,1719.5
11/25/2025 02:00,9062.9,1477.7,1615.7
11/25/2025 03:00,8882.2,1430.2,1544.8
11/25/2025 04:00,8719.7,1358.4,1511.2
11/25/2025 05:00,8703.1,1395.9,1574.1
11/25/2025 06:00,8766.9,1451.5,1672.5
11/25/2025 07:00,8721.1,1423.6,1674.3
11/25/2025 08:00,8873.2,1570.5,1854.4
11/25/2025 09:00,9325.6,1935.9,2286.9
11/25/2025 10:00,9697.5,2229.9,2597
11/25/2025 11:00,9984.2,2437,2827.7
11/25/2025 12:00,10082.9,2483.2,2865.9
11/25/2025 13:00,10091.3,2441.5,2793.6
11/25/2025 14:00,10323.9,2574.1,2900.8
11/25/2025 15:00,10414.8,2607.1,2873.9
11/25/2025 16:00,10419.1,2555.1,2798.2
11/25/2025 17:00,10404.7,2484.9,2717
11/25/2025 18:00,10415.6,2435.6,2694
11/25/2025 19:00,10533.8,2522.2,2800.9
11/25/2025 20:00,10463.8,2424.1,2733.7
11/25/2025 21:00,10364.5,2322.1,2651.8
11/25/2025 22:00,10172.9,2149.2,2488.5
11/25/2025 23:00,9974.2,1953.7,2321.4
11/26/2025 00:00,9774.8,1788.4,2182
11/26/2025 01:00,9547.8,1640.1,2019.3
11/26/2025 02:00,9358.6,1539.2,1889
11/26/2025 03:00,9163.5,1439.9,1775.7
11/26/2025 04:00,9025.4,1392,1692.7
11/26/2025 05:00,9003.6,1433.1,1725.8
11/26/2025 06:00,9063.9,1511.3,1814.6
11/26/2025 07:00,9029.6,1496.6,1791.4
11/26/2025 08:00,9175.4,1673.8,1949.6
11/26/2025 09:00,9623.5,2088.1,2377.4
11/26/2025 10:00,9992.7,2393.4,2737.6
11/26/2025 11:00,10305.2,2600.2,2969.5
11/26/2025 12:00,10428.5,2648.6,3013.2
11/26/2025 13:00,10466.8,2669.5,2968.1
11/26/2025 14:00,10730.2,2847.2,3111
11/26/2025 15:00,10860.1,2902.5,3102.6
11/26/2025 16:00,10858.3,2855.7,2990.6
11/26/2025 17:00,10839.3,2793.5,2877.8
11/26/2025 18:00,10820.3,2784.1,2828.3
11/26/2025 19:00,10940.6,2879.1,2932.5
11/26/2025 20:00,10882,2799.5,2874.7
11/26/2025 21:00,10805.4,2685.6,2791.6
11/26/2025 22:00,10639.6,2495.7,2619.4
11/26/2025 23:00,10449.1,2300.6,2442.7
11/27/2025 00:00,10253.2,2140.4,2319
11/27/2025 01:00,10042.1,1958.9,2173.4
11/27/2025 02:00,9860,1832.5,2060
11/27/2025 03:00,9669,1712.8,1956.8
11/27/2025 04:00,9494.2,1649.9,1886.2
11/27/2025 05:00,9428.1,1692.8,1922.3
11/27/2025 06:00,9415,1763.4,1999.2
11/27/2025 07:00,9311.1,1726.9,1961.7
11/27/2025 08:00,9405.9,1870.6,2113.7
11/27/2025 09:00,9803.1,2258.9,2502.5
11/27/2025 10:00,10172.7,2543.3,2801.6
11/27/2025 11:00,10468.3,2720.9,2985.3
11/27/2025 12:00,10589.1,2733.7,3011
11/27/2025 13:00,10607.4,2706.2,2993.1
11/27/2025 14:00,10825.5,2912.2,3165.4
11/27/2025 15:00,10910,2972.5,3228.5
11/27/2025 16:00,10908.3,2919.4,3160.4
11/27/2025 17:00,10856.3,2854.4,3069.9
11/27/2025 18:00,10842.8,2799.9,3024.8
11/27/2025 19:00,10966.4,2881.2,3092.9
11/27/2025 20:00,10923.5,2803.8,2988
11/27/2025 21:00,10851.7,2703.8,2883.8
11/27/2025 22:00,10673.9,2519.2,2701.9
11/27/2025 23:00,10488.5,2315.2,2500.7
11/28/2025 00:00,10300.9,2151.7,2301.9
11/28/2025 01:00,10078.5,1997,2097
11/28/2025 02:00,9881.8,1878.2,1941.5
11/28/2025 03:00,9673,1771.8,1823
11/28/2025 04:00,9513.9,1702,1746.9
11/28/2025 05:00,9456.2,1764.6,1761.7
11/28/2025 06:00,9454.4,1838.2,1858.1
11/28/2025 07:00,9358.5,1798.4,1830.2
11/28/2025 08:00,9500.1,1938.2,1968.2
11/28/2025 09:00,9918.6,2321.7,2386.3
11/28/2025 10:00,10243.8,2627.5,2705.9
11/28/2025 11:00,10507.3,2831.2,2935.9
11/28/2025 12:00,10591.9,2864.7,2965.1
11/28/2025 13:00,10595.1,2827.3,2944.8
11/28/2025 14:00,10854.9,2979.3,3133.3
11/28/2025 15:00,10969.7,2986.5,3193.2
11/28/2025 16:00,10983.9,2945.6,3170.6
11/28/2025 17:00,10952.1,2862.6,3092.4
11/28/2025 18:00,10918.6,2804.9,3037.2
11/28/2025 19:00,11016.3,2878.7,3113.7
11/28/2025 20:00,10929.6,2763.6,3009.1
11/28/2025 21:00,10834.2,2645.6,2892.8
11/28/2025 22:00,10641.5,2447.5,2721.1
11/28/2025 23:00,10411,2240.9,2504.3
11/29/2025 00:00,10179.1,2039.2,2297.7
11/29/2025 01:00,9927.6,1832.9,2071.3
11/29/2025 02:00,9709.5,1685.3,1927.2
11/29/2025 03:00,9507.5,1578.3,1770.8
11/29/2025 04:00,9349.7,1510.5,1666.3
11/29/2025 05:00,9285.9,1543.9,1672.3
11/29/2025 06:00,9264.3,1625.9,1757.6
11/29/2025 07:00,9140.8,1599.6,1719.1
11/29/2025 08:00,9230.5,1754.6,1832.5
11/29/2025 09:00,9627.1,2126.4,2199.1
11/29/2025 10:00,9953.6,2379,2461.9
11/29/2025 11:00,10215,2572,2655.8
11/29/2025 12:00,10329.8,2631.3,2707.7
11/29/2025 13:00,10342.7,2624,2708
11/29/2025 14:00,10527.2,2789.8,2931.5
11/29/2025 15:00,10621.3,2909.1,3009.5
11/29/2025 16:00,10613.2,2855.6,2984.2
11/29/2025 17:00,10556.9,2749,2895.3
11/29/2025 18:00,10524.7,2712.3,2846.3
11/29/2025 19:00,10605.1,2832.1,2953.1
11/29/2025 20:00,10519.6,2742.6,2863.4
11/29/2025 21:00,10428.5,2657.7,2762.5
11/29/2025 22:00,10255.7,2483.7,2623.9
11/29/2025 23:00,10089.5,2312.9,2471.4
11/30/2025 00:00,9812.2,2053,2244.4
11/30/2025 01:00,9519.6,1802.5,2004.7
11/30/2025 02:00,9277.3,1610.1,1818.5
11/30/2025 03:00,9062.4,1454.2,1642.3
11/30/2025 04:00,8901.5,1335.8,1505.3
11/30/2025 05:00,8845.6,1333.2,1478.2
11/30/2025 06:00,8834,1359.4,1503.7
11/30/2025 07:00,8720.1,1291.8,1422.7
11/30/2025 08:00,8799.7,1418.8,1555.8
11/30/2025 09:00,9131.9,1793.3,1912.9
11/30/2025 10:00,9400.9,2090.6,2173.1
11/30/2025 11:00,9588,2299,2365.2
11/30/2025 12:00,9622.7,2327.7,2374.6
11/30/2025 13:00,9631.4,2265.8,2324.7
11/30/2025 14:00,9811.6,2422.1,2514.8
11/30/2025 15:00,9843.7,2413.2,2506.9
11/30/2025 16:00,9843.2,2358.7,2434.6
11/30/2025 17:00,9774.9,2295.6,2393.4
11/30/2025 18:00,9769.8,2261.9,2374.7
11/30/2025 19:00,9901.5,2378.8,2509.6
11/30/2025 20:00,9881,2322.2,2466.1
11/30/2025 21:00,9856.6,2254.7,2404.9
11/30/2025 22:00,9741.2,2099.6,2267
11/30/2025 23:00,9601.3,1931.5,2125
12/1/2025 00:00,9494.3,1844.5,2022.1
12/1/2025 01:00,9351.3,1726.2,1915.4
12/1/2025 02:00,9209.6,1640.6,1827.2
12/1/2025 03:00,9064.9,1572.9,1769.7
12/1/2025 04:00,8955.6,1541.9,1736.2
12/1/2025 05:00,8939.5,1597.5,1803.2
12/1/2025 06:00,8982.7,1705.6,1908.2
12/1/2025 07:00,8926.8,1689.4,1902.4
12/1/2025 08:00,9080.1,1858.7,2050.3
12/1/2025 09:00,9509.3,2228.3,2422.1
12/1/2025 10:00,9842,2518,2676.2
12/1/2025 11:00,10107.4,2649.8,2836.1
12/1/2025 12:00,10187.8,2571.8,2803.1
12/1/2025 13:00,10171.5,2417.7,2688.8
12/1/2025 14:00,10409,2487.3,2774.3
12/1/2025 15:00,10509.2,2435.8,2739.2
