DateTimeEnding,CLUZ,CVIS,CMIN
11/25/2025 01:00,9146.3,1721,1891.2
11/25/2025 02:00,8847.4,1632.7,1829.1
11/25/2025 03:00,8497.9,1587.3,1772.2
11/25/2025 04:00,8367.1,1570.2,1750.4
11/25/2025 05:00,8448.7,1594.4,1788.3
11/25/2025 06:00,8662.6,1665.8,1907.7
11/25/2025 07:00,8703.1,1673.1,1847
11/25/2025 08:00,9049,1706.7,1890.2
11/25/2025 09:00,9836.2,1956.2,2166.6
11/25/2025 10:00,10377,2142.9,2325.5
11/25/2025 11:00,10778.3,2226.4,2423
11/25/2025 12:00,10975.5,2220.1,2452.7
11/25/2025 13:00,10824.5,2173,2425
11/25/2025 14:00,11274.5,2301,2528.8
11/25/2025 15:00,11240.5,2326.6,2529.6
11/25/2025 16:00,11285.7,2311,2476.7
11/25/2025 17:00,11048.5,2248.8,2422.9
11/25/2025 18:00,10815.9,2236.6,2438
11/25/2025 19:00,10873.7,2282.8,2472.4
11/25/2025 20:00,10761.9,2170.5,2376.5
11/25/2025 21:00,10547.2,2127.1,2327.5
11/25/2025 22:00,10196.1,2023.5,2226.9
11/25/2025 23:00,9969.5,1904.7,2129.6
11/26/2025 00:00,9531.4,1794.3,1982
11/26/2025 01:00,9162.4,1723.1,1891.5
11/26/2025 02:00,8831.5,1639.9,1829.3
11/26/2025 03:00,8567.4,1594.7,1767.9
11/26/2025 04:00,8449,1567.9,1749.7
11/26/2025 05:00,8531.1,1588.5,1788.7
11/26/2025 06:00,8735.5,1672,1909.7
11/26/2025 07:00,8731.1,1671.8,1843.2
11/26/2025 08:00,9051.6,1714.8,1885.8
11/26/2025 09:00,9908.6,1985.1,2171.3
11/26/2025 10:00,10490.8,2158.1,2337.1
11/26/2025 11:00,10959.6,2246.7,2427.6
11/26/2025 12:00,11069.1,2249.5,2464.1
11/26/2025 13:00,10948.8,2217.6,2440.9
11/26/2025 14:00,11307.1,2321.9,2541.9
11/26/2025 15:00,11371.4,2351.9,2540
11/26/2025 16:00,11281.2,2323.8,2486
11/26/2025 17:00,11031.7,2277.4,2429
11/26/2025 18:00,10760,2257.3,2437.9
11/26/2025 19:00,10922.8,2300.1,2484.7
11/26/2025 20:00,10770.4,2195.7,2390.8
11/26/2025 21:00,10557.3,2138.3,2334.4
11/26/2025 22:00,10211.5,2038,2227.7
11/26/2025 23:00,9939.2,1919.4,2131.8
11/27/2025 00:00,9516.1,1807.7,1991.7
11/27/2025 01:00,9210.9,1723.7,1898.4
11/27/2025 02:00,8911.8,1653.7,1836.7
11/27/2025 03:00,8634.1,1608.5,1773.4
11/27/2025 04:00,8473.7,1576.6,1755.7
11/27/2025 05:00,8556,1596.1,1795.2
11/27/2025 06:00,8735.9,1681.9,1910.3
11/27/2025 07:00,8712.3,1671.5,1842.1
11/27/2025 08:00,9034.1,1717.2,1884.5
11/27/2025 09:00,9910.6,1993.7,2166.8
11/27/2025 10:00,10584.1,2155.8,2334.3
11/27/2025 11:00,11014.2,2241.7,2421.6
11/27/2025 12:00,11120.6,2252.1,2467.5
11/27/2025 13:00,10969.8,2225.2,2445.8
11/27/2025 14:00,11289.8,2333.5,2537
11/27/2025 15:00,11391.5,2359.6,2552
11/27/2025 16:00,11277.3,2327.7,2480.2
11/27/2025 17:00,10992.7,2286.1,2430.8
11/27/2025 18:00,10738.8,2257.6,2437.8
11/27/2025 19:00,10937.6,2305.3,2479.7
11/27/2025 20:00,10772.9,2203.3,2387.9
11/27/2025 21:00,10560.3,2141.7,2336.5
11/27/2025 22:00,10216.1,2042.4,2228
11/27/2025 23:00,9963.2,1923.7,2124.5
11/28/2025 00:00,9511.5,1811.8,1969.9
11/28/2025 01:00,9225.6,1731.6,1886.7
11/28/2025 02:00,8936.2,1664,1824.3
11/28/2025 03:00,8608.5,1612.7,1768.3
11/28/2025 04:00,8481.1,1579.2,1751.3
11/28/2025 05:00,8563.5,1589,1790.8
11/28/2025 06:00,8736,1676.9,1906.7
11/28/2025 07:00,8706.6,1671.4,1836.5
11/28/2025 08:00,9047.1,1717.9,1878.5
11/28/2025 09:00,9911.2,1996.4,2165.5
11/28/2025 10:00,10556.1,2162,2327.1
11/28/2025 11:00,11008.5,2240.2,2419.8
11/28/2025 12:00,11091.6,2252.9,2452
11/28/2025 13:00,10994.4,2221.1,2447.2
11/28/2025 14:00,11314.8,2324.2,2544.3
11/28/2025 15:00,11419.1,2356.2,2555.7
11/28/2025 16:00,11302.4,2335,2487
11/28/2025 17:00,11014.8,2288.7,2431.3
11/28/2025 18:00,10732.4,2257.6,2437.8
11/28/2025 19:00,10942.1,2298.9,2478.2
11/28/2025 20:00,10746,2199.4,2387
11/28/2025 21:00,10561.2,2134.9,2337.1
11/28/2025 22:00,10183.3,2037.7,2184.7
11/28/2025 23:00,9937.3,1925.1,2087.9
11/29/2025 00:00,9659.1,1822.3,1973.9
11/29/2025 01:00,9359,1739.8,1897.7
11/29/2025 02:00,9071.9,1677.2,1818.8
11/29/2025 03:00,8785.6,1624.6,1775
11/29/2025 04:00,8629.1,1588.2,1744
11/29/2025 05:00,8567.1,1591,1767.8
11/29/2025 06:00,8528,1634.1,1840
11/29/2025 07:00,8445,1624.1,1806.3
11/29/2025 08:00,8723.3,1665.5,1853.4
11/29/2025 09:00,9428.8,1857.4,2006.4
11/29/2025 10:00,10005.1,1966.7,2164
11/29/2025 11:00,10485.9,2071.1,2256
11/29/2025 12:00,10634,2074.2,2300
11/29/2025 13:00,10447.7,2060.4,2306.9
11/29/2025 14:00,10712.3,2132.3,2373.2
11/29/2025 15:00,10752.5,2158.5,2396.7
11/29/2025 16:00,10613.1,2132.7,2374
11/29/2025 17:00,10409.8,2086.9,2313.2
11/29/2025 18:00,10295.6,2116.2,2390.3
11/29/2025 19:00,10562.1,2233.3,2463.9
11/29/2025 20:00,10422.8,2136.6,2357.4
11/29/2025 21:00,10307.3,2083.4,2316.3
11/29/2025 22:00,9990.4,2001.5,2174.3
11/29/2025 23:00,9828.5,1887.2,2100.2
11/30/2025 00:00,9513.9,1796,1989.9
11/30/2025 01:00,9194.9,1717.2,1913.3
11/30/2025 02:00,8882.5,1654.4,1841.4
11/30/2025 03:00,8597.5,1602.5,1787.7
11/30/2025 04:00,8376.7,1557.1,1750.1
11/30/2025 05:00,8303,1546.9,1754.7
11/30/2025 06:00,8194.7,1552.7,1797.7
11/30/2025 07:00,8080,1537.2,1756.1
11/30/2025 08:00,8225.8,1576,1762.8
11/30/2025 09:00,8676.1,1662.6,1848.8
11/30/2025 10:00,9173.7,1776.6,1937
11/30/2025 11:00,9585.6,1848.6,2035
11/30/2025 12:00,9696.8,1881,2093
11/30/2025 13:00,9700.3,1896.8,2110
11/30/2025 14:00,9878.2,1933.1,2144.1
11/30/2025 15:00,9818.9,1949,2119.2
11/30/2025 16:00,9679.8,1949,2098.1
11/30/2025 17:00,9493.5,1925.6,2089.3
11/30/2025 18:00,9780.6,2040,2225
11/30/2025 19:00,10171.7,2176,2313
11/30/2025 20:00,10088.9,2094.7,2224
11/30/2025 21:00,10058.4,2035,2191
11/30/2025 22:00,9819.4,1961.2,2119.5
11/30/2025 23:00,9495.9,1871.2,2022
12/1/2025 00:00,9510.8,1808.3,1985.5
12/1/2025 01:00,9220.7,1729.7,1898.1
12/1/2025 02:00,8882.4,1664.2,1833
12/1/2025 03:00,8597.5,1616.4,1779.3
12/1/2025 04:00,8451.9,1579.4,1755.8
12/1/2025 05:00,8487.1,1583.6,1784.9
12/1/2025 06:00,8571.9,1659,1880.3
12/1/2025 07:00,8531.9,1656.8,1815.9
